function,db,func_child_cnt,func_child,table_child_cnt,table_child
TRI_get_enabled_data_source_detail,VisionOne,4,"['GET_ZTRI_SENSOR_STATUS_RAW', 'GET_TRILOGY_SENSOR_LOGS', 'GET_INTERNET_FACING_SENSOR_LOGS', 'Func_Hubble_MAP_Data_Source_Type']",0,[]
Customer_Profiles_ETL,VisionOne,3,"['XDR_get_paid_customers', 'XDR_get_trial_customers', 'mxdr_customer']",5,"['MAK_Account_GUID', 'MAK_Account_License', 'CLP_Account_UBT', 'osce_product_feedback', 'CLP_Account_License']"
GET_ZTRI_SENSOR_CUSTOMER_COUNT,VisionOne,3,"['GET_ZERI_SENSOR_LOGCOUNT_DAILY', 'CLP_WHO_VISIT_V1', 'CLP_WHO_INUSE_ZTRI']",0,[]
Tree_View_Service_Gateway,VisionOne,3,"['slog_ubtaudit', 'GET_ZTRI_SENSOR_STATUS_RAW', 'Func_V1_Accumulated_Cus']",2,"['DeviceVulnerability', 'xdr_pendo_raw_events']"
Customer_Profiles_ETL_bak,VisionOne,3,"['XDR_get_paid_customers', 'XDR_get_trial_customers', 'mxdr_customer']",4,"['MAK_Account_GUID', 'MAK_Account_License', 'osce_product_feedback', 'CLP_Account_License']"
SG2_Appliance_Service_Status,VisionOne,3,"['slog_ubtaudit', 'SG2_Appliance_Registered', 'SG2_Cus_Registered']",0,[]
Reports_shcedule,VisionOne,3,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Inuse', 'Reports_Visit']",0,[]
Tree_View_ZTSA_0301,VisionOne,3,"['slog_ubtaudit', 'Get_ZTSA_Rules', 'Func_V1_Accumulated_Cus']",3,"['sase_tdl', 'dataLakeMetrics', 'xdr_pendo_events_flattened']"
CLP_WHO_DEPLOY_ZTSA_test,VisionOne,3,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules']",1,['sase_tdl']
RA_Assessment_Touched_WB_Customer,VisionOne,3,"['XDR_created_WB', 'RA_Assessment_Customer', 'XDR_touched_WB']",0,[]
Reports_Onetime,VisionOne,3,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Inuse', 'Reports_Visit']",0,[]
Tree_View_Executive_Dashboard,VisionOne,3,"['TRI_get_enter_page_metrics_unpivot', 'DVASS_Get_UI_Interaction', 'Func_pendo_track_type_mapping']",1,['xdr_pendo_events_flattened']
REPORT_V1_COMMON,VisionOne,3,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_V1_DAILY', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
TRI_get_enabled_data_source_detail_Monica,VisionOne,3,"['GET_ZTRI_SENSOR_STATUS_RAW', 'GET_TRILOGY_SENSOR_LOGS', 'GET_INTERNET_FACING_SENSOR_LOGS']",0,[]
CE_get_OAT_engagement_bak,VisionOne,3,"['CE_get_OAT_copy_to_clipboard', 'CE_get_OAT_investigate', 'CE_get_OAT_List']",0,[]
NI_flywheel_30_eligible_Cus,VisionOne,3,"['NI_DDI_V1_support_Cus', 'FW_Promotion_Log', 'DDI_total_licensed_cus']",1,['CLP_Account_License']
TRI_get_enabled_data_source_detail_bak,VisionOne,3,"['GET_ZTRI_SENSOR_STATUS_RAW', 'GET_TRILOGY_SENSOR_LOGS', 'GET_INTERNET_FACING_SENSOR_LOGS']",0,[]
CE_get_OAT_investigate,VisionOne,3,"['xdr_matomo_events', 'slog_ubtaudit', 'XDR_get_investigate_response']",1,['V1_role']
NI_flywheel_onboarded_Cus,VisionOne,3,"['slog_trace', 'slog_ubtaudit', 'NI_flywheel_eligible_Cus']",1,['MAK_Account_GUID']
XDR_get_possible_soc,VisionOne,3,"['slog_ubtaudit', 'XDR_visit_DIR_Apps', 'XDR_investigate_DIR_Apps']",0,[]
SG_Appliance_Service_Status_2,VisionOne,3,"['slog_ubtaudit', 'SG_Cus_Registered', 'SG_Appliance_Registered']",0,[]
XDR_get_OAT_investigate,VisionOne,3,"['xdr_matomo_events', 'slog_ubtaudit', 'XDR_get_investigate_response']",1,['V1_role']
get_customer_decision_type,VisionOne,3,"['mxdr_customer', 'get_customer_ubt_type', 'slog_ubtaudit']",0,[]
